Year,AdminCity,City,Population,Male,Female,Latitude,Longitude
2010,Kyustendil,Boboshevo,1291,587,704,42.1461,23.0708
2010,Kyustendil,Dupnitsa,35506,16927,18579,42.2667,23.1167
2010,Kyustendil,Kocherinovo,2542,1196,1346,42.1167,23.0833
2010,Kyustendil,Kyustendil,45431,21819,23612,42.2833,22.6833
2010,Kyustendil,Rila,2807,1365,1442,42.13,23.3869
2010,Kyustendil,Sapareva Banya,4069,2027,2042,42.2889,23.2672
2010,Lovech,Apriltsi,3121,1551,1570,42.85,24.9167
2010,Lovech,Letnitsa,3577,1689,1888,43.2558,25.0639
2010,Lovech,Lovech,37843,18524,19319,43.1333,24.7167
2010,Lovech,Lukovit,9535,4620,4915,43.2,24.1667
2010,Lovech,Teteven,10429,5181,5248,42.9167,24.2667
2010,Lovech,Troyan,21723,10722,11001,42.89,24.7133
2010,Lovech,Ugarchin,2774,1334,1440,43.1,24.3167
2010,Lovech,Yablanitsa,2855,1410,1445,43.05,24.1
2010,Montana,Berkovitsa,13721,6598,7123,43.2392,23.1272
2010,Montana,Boychinovtsi,1615,824,791,43.4683,23.3044
2010,Montana,Brusartsi,1264,614,650,43.7,23.05
2010,Montana,Valchedram,3696,1752,1944,43.715,23.45
2010,Montana,Varshets,6428,3132,3296,43.1981,23.2875
2010,Montana,Lom,23836,11339,12497,43.8139,23.2369
2010,Montana,Montana,44602,21537,23065,43.4125,23.225
2010,Montana,Chiprovtsi,1862,915,947,43.3844,22.8822
2010,Pazardzhik,Batak,3422,1733,1689,41.9442,24.2181
2010,Pazardzhik,Belovo,3794,1813,1981,42.2122,24.015
2010,Pazardzhik,Bratsigovo,4386,2171,2215,42.0128,24.3742
2010,Pazardzhik,Velingrad,23479,11087,12392,42.0278,23.9908
2010,Pazardzhik,Vetren,3463,1699,1764,42.245,24.0894
2010,Pazardzhik,Kostandovo,4277,2119,2158,42.0656,24.0517
2010,Pazardzhik,Pazardzhik,74850,35984,38866,42.1922,24.3331
2010,Pazardzhik,Panagyurishte,17675,8625,9050,42.5,24.1833
2010,Pazardzhik,Peshtera,19288,9429,9859,42.0347,24.2994
2010,Pazardzhik,Rakitovo,8277,4064,4213,41.9878,24.0861
2010,Pazardzhik,Septemvri,8320,4087,4233,42.2167,24.1
2010,Pazardzhik,Strelcha,4240,2026,2214,42.5,24.3167
2010,Pazardzhik,Sarnitsa,3579,1793,1786,41.7858,24.015
2010,Pernik,Batanovtsi,2247,1083,1164,42.5539,23.0325
2010,Pernik,Breznik,3940,1879,2061,42.7394,22.9078
2010,Pernik,Zemen,1834,883,951,42.48,22.7489
2010,Pernik,Pernik,77879,37074,40805,42.6078,23.0375
2010,Pernik,Radomir,13873,6627,7246,42.5453,22.9775
2010,Pernik,Tran,2492,1244,1248,42.8342,22.6519
2010,Pleven,Belene,8761,4610,4151,43.6511,25.1133
2010,Pleven,Gulyantsi,3372,1628,1744,43.6486,24.7125
2010,Pleven,Dolna Mitropolia,3260,1552,1708,43.4667,24.5333
2010,Pleven,Dolni Dabnik,4706,2311,2395,43.4167,24.4333
2010,Pleven,Iskar,3539,1750,1789,43.4608,24.2686
2010,Pleven,Knezha,11063,5337,5726,43.5,24.0833
2010,Pleven,Koynare,4383,2152,2231,43.3667,24.0833
2010,Pleven,Levski,10528,5132,5396,43.4333,25.1333
2010,Pleven,Nikopol,3832,1896,1936,43.7081,24.8983
2010,Pleven,Pleven,110520,53036,57484,43.4167,24.6167
2010,Pleven,Pordim,2086,1011,1075,43.4167,24.9167
2010,Pleven,Slavyanovo,4342,2134,2208,43.3167,24.8667
2010,Pleven,Trastenik,4460,2180,2280,43.4833,24.55
2010,Pleven,Cherven Bryag,13634,6621,7013,43.2667,24.1
2010,Plovdiv,Asenovgrad,51019,24617,26402,42.0167,24.8667
2010,Plovdiv,Banya,3427,1585,1842,42.5,24.8333
2010,Plovdiv,Brezovo,1858,891,967,42.4833,25.0833
2010,Plovdiv,Kalofer,3191,1510,1681,42.6178,24.98
2010,Plovdiv,Karlovo,23797,11432,12365,42.6333,24.8
2010,Plovdiv,Klisura,1241,592,649,42.7,24.45
2010,Plovdiv,Krichim,8463,4110,4353,42.0333,24.4667
2010,Plovdiv,Kuklen,5837,2824,3013,42.0333,24.7833
2010,Plovdiv,Laki,2406,1327,1079,41.8167,24.8333
2010,Plovdiv,Perushtitsa,5149,2516,2633,42.0333,24.55
2010,Plovdiv,Plovdiv,347611,165477,182134,42.15,24.75
2010,Plovdiv,Parvomay,13733,6482,7251,42.1,25.2167
2010,Plovdiv,Rakovski,15052,7231,7821,42.2833,24.9333
2010,Plovdiv,Sadovo,2491,1250,1241,42.1333,24.8667
2010,Plovdiv,Sopot,9076,4403,4673,42.6667,24.75
2010,Plovdiv,Stamboliyski,11575,5538,6037,42.1333,24.5333
2010,Plovdiv,Saedinenie,5951,2904,3047,42.25,24.6
2010,Plovdiv,Hisarya,7239,3459,3780,42.5,24.7
2010,Razgrad,Zavet,3316,1662,1654,43.7333,26.5833
2010,Razgrad,Isperih,8829,4247,4582,43.7167,26.8333
2010,Razgrad,Kubrat,7898,3784,4114,43.8,26.5
2010,Razgrad,Loznitsa,2361,1201,1160,43.4333,26.6167
2010,Razgrad,Razgrad,34157,15908,18249,43.5333,26.5167
2010,Razgrad,Tsar Kaloyan,3782,1803,1979,43.6333,26.2333
2010,Ruse,Borovo,2275,1111,1164,43.5667,25.8167
2010,Ruse,Byala,8890,4390,4500,42.8833,27.8833
2010,Ruse,Byala,8890,4390,4500,43.4631,25.7214
2010,Ruse,Vetovo,4758,2339,2419,43.7,26.2667
2010,Ruse,Glodzhevo,3596,1773,1823,43.6833,26.5
2010,Ruse,Dve Mogili,4314,2125,2189,43.5,25.8833
2010,Ruse,Marten,3673,1813,1860,43.85,25.9333
2010,Ruse,Ruse,155818,75104,80714,43.8486,25.9534
2010,Ruse,Senovo,1550,761,789,43.6167,26.3167
2010,Ruse,Slivo pole,3179,1574,1605,43.85,26.2
2010,Ruse,Silistra,56830,27386,29444,44.1167,27.2667
2010,Ruse,Silistra,56830,27386,29444,44.1167,27.2667
2010,Ruse,Alfatar,1668,836,832,43.95,27.3
2010,Ruse,Glavinitsa,1891,921,970,43.9333,26.8333
2010,Ruse,Dulovo,6568,3173,3395,43.8333,27.1333
2010,Ruse,Silistra,37332,17899,19433,44.1167,27.2667
2010,Ruse,Silistra,37332,17899,19433,44.1167,27.2667
2010,Ruse,Tutrakan,9371,4557,4814,44.05,26.6167
2010,Sliven,Kermen,1859,919,940,42.6333,26.1333
2010,Sliven,Kotel,6066,2892,3174,42.8833,26.45
2010,Sliven,Nova Zagora,23325,11339,11986,42.4833,26.0167
2010,Sliven,Sliven,92478,44448,48030,42.6833,26.3167
2010,Sliven,Tvarditsa,5651,2865,2786,42.7167,26.0167
2010,Sliven,Shivachevo,3795,1901,1894,42.7,26.0667
